Title,Subtitle,Price,Offer,Shipping,Country,Sold
"15.6"" Lenovo ThinkPad Laptop: Intel i7! 16GB RAM! 512 SSD! Windows 10! DVD-RW!",No subtitle,$239.99,or Best Offer,+$104.40 shipping,from United States,No sold information
15.6 Dell Precision Gaming Laptop: Intel i5! 16GB RAM! 1TB SSD! Backlit Keyboard,No subtitle,$209.95,or Best Offer,+$110.26 shipping,from United States,No sold information
~10th Gen~ FHD 1080p Lenovo ThinkPad Laptop PC: Intel i7QC! 8GB RAM! 512GB SSD!,No subtitle,$279.95,or Best Offer,+$78.63 shipping,from United States,No sold information
"New ListingMicrosoft Surface Pro 4 12.3"" 2.4GHz i5 4GB 128GB SSD Win 11 Pro (Grade B No AC)",Pre-Owned,$73.49,or Best Offer,+$839.88 shipping,from United States,No sold information
"Dell Latitude 7400 14"" FHD i7-8665U 16GB 256gb SSD NVME Laptop WIN 11 pro WIFI",No subtitle,$249.99,or Best Offer,+$84.50 shipping,from United States,122 sold
"Dell Latitude 5400 14"" FHD Laptop PC Intel Core i7 16GB RAM 512GB SSD Windows 11",Very Good - Refurbished,$299.99,or Best Offer,+$85.97 shipping,from United States,236 sold
"Microsoft Surface Laptop Studio 14.4"" Touchscreen Intel i5 16GB RAM 256GB SSD",No subtitle,$639.00,No best offer,+$82.50 shipping,from United States,52 sold
"HP X360 G4 2-in-1 Touchscreen Laptop 11.6"" Core i5 8GB RAM 128GB SSD Windows 11",Very Good - Refurbished,$159.99,No best offer,+$81.84 shipping,from United States,451 sold
17.3'' Laptop Intel N5095 RAM-16GB SSD-512GB Win11 FHD Touch Display Notebook PC,Brand New,$284.05,or Best Offer,Free International Shipping,from China,No sold information
"2023 HP 17-cn3053cl 17.3"" IPS FHD Laptop Intel Core i5-1335U 12GB 512GB SSD W11",Certified - Refurbished,$399.00,No best offer,+$109.09 shipping,from United States,583 sold
"Dell Latitude 5410 14"" FHD i7-10610U 32GB 512GB SSD FPReader Cam Windows 10 Pro",Certified - Refurbished,$328.06,No best offer,+$86.80 shipping,from United States,105 sold
"Dell Latitude 15.6"" Laptop PC Computer Core i3 8GB RAM 128GB SSD WiFi Windows 10",Very Good - Refurbished,$139.99,No best offer,+$81.25 shipping,from United States,178 sold
HP 15-fd0629ds 15in Laptop Intel N100 4gb MEM 128gb SSD Win11,Open Box,$199.99,No best offer,+$83.02 shipping,from United States,50 sold
HP 1030 G2 2-in-1 Touchscreen 13.3” Laptop Core i5 8GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$234.99,or Best Offer,+$84.06 shipping,from United States,71 sold
Lenovo ThinkPad 11e Touchscreen 2-in-1 Laptop PC 4GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$109.99,or Best Offer,+$80.37 shipping,from United States,243 sold
"HP Chromebook 11 G6 11.6"" Intel 2.40 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD",No subtitle,$79.99,No best offer,+$72.73 shipping,from United States,66+ sold
"HP 14-dq0732ds 14"" HD Touch Laptop Pentium Silver N5030 1.1GHz 4GB 128GB SSD W11",Brand New,$185.00,No best offer,+$82.58 shipping,from United States,No sold information
"~OVERSTOCK ITEM~ 15.6"" HP ProBook i5 Laptop PC: 16GB RAM 512GB SSD Windows 11",No subtitle,$269.99,or Best Offer,+$105.29 shipping,from United States,No sold information
Acer Nitro V 15 15.6  FHD 165Hz Gaming Laptop Intel Core i7-13620H 32GB RAM 512G,Brand New,$899.99,No best offer,+$123.87 shipping,from United States,No sold information
"Dell 15"" Laptop Computer i5-1135G7, up to 40GB RAM, 2TB SSD, Windows 11 Pro",No subtitle,$249.00 to $579.00,No best offer,+$84.47 shipping,from United States,No sold information
New Samsung Galaxy Book Go 5G 14” 128GB 8GB RAM Wifi + Cellular Unlocked Laptop,Open Box,$232.95,No best offer,+$144.15 shipping,from United States,350 sold
"~OVERSTOCK~ 13.3"" Dell Latitude Laptop: Intel i5! 16GB RAM! 1TB SSD! Windows 11!",No subtitle,$287.95,or Best Offer,+$85.62 shipping,from United States,No sold information
"Dell Latitude E7450 14"" Laptop PC Computer Core i7 16GB RAM 256GB SSD Windows 10",Very Good - Refurbished,$189.99,No best offer,+$82.73 shipping,from United States,85 sold
"Dell XPS 13 13.4 4K (Intel Core i7-,  16GB RAM 1TB SSD) Laptop",No subtitle,$795.00,No best offer,+$100.58 shipping,from United States,No sold information
Dell Touchscreen 2-in-1 Laptop Computer Quad-Core i7 16GB RAM 250GB SSD Windows,Very Good - Refurbished,$258.99,or Best Offer,+$104.96 shipping,from United States,No sold information
17.3 Inch Touch Display Laptop Intel N5095 8GB 16GB RAM 256GB 512GB SSD Notebook,Brand New,$258.35 to $277.54,No best offer,Free International Shipping,from China,No sold information
"HP 14-fq1003cl 14"" HD Touch AMD Ryzen 3 5300U 2.60GHz 8GB DDR4 RAM 256 SSD W11H",Very Good - Refurbished,$179.99,No best offer,+$82.43 shipping,from United States,26 sold
2022 Dell Latitude 7420 Laptop Intel i5-1145G7 4.4GHz 8GB RAM 256GB SSD X79HW,No subtitle,$364.99,No best offer,+$81.14 shipping,from United States,No sold information
"15.6"" HP ProBook Laptop PC: Intel i7! 16GB RAM! 256GB SSD! Webcam! Windows 10!",No subtitle,$209.95,or Best Offer,+$103.52 shipping,from United States,No sold information
"Dell 5190 Chromebook Touchscreen Laptop 11.6"" Celeron 4GB Ram 32GB SSD Chrome OS",Good - Refurbished,$59.99,No best offer,+$72.14 shipping,from United States,39 sold
Dell Laptop Latitude 5400 Intel Core i5 8th 256GB HD 8GB Windows 11 HDMI Webcam,Good - Refurbished,$169.00,No best offer,+$75.36 shipping,from United States,227 sold
"HP EliteBook 840 G8 14"" FHD Laptop Intel i5-1145G7 2.6GHz 16GB 256GB W10P",No subtitle,$307.99,No best offer,+$86.21 shipping,from United States,No sold information
"15.6"" Dell Latitude Laptop PC: Intel i7! 16GB RAM! 1 TB SSD! Built in CD/DVD!",No subtitle,$219.95,or Best Offer,+$83.61 shipping,from United States,No sold information
2024 Dell Inspiron 15 Laptop Touch Intel i5-1235U UP 64GB RAM&1TB SSD Win 11 PRO,No subtitle,$449.00 to $699.00,No best offer,+$91.55 shipping,from United States,No sold information
"Dell Laptop Latitude PC Computer 13.3"" LED Core i3 8GB RAM 128GB SSD Windows 10",Very Good - Refurbished,$118.10,or Best Offer,+$73.86 shipping,from United States,503 sold
HP 14 Laptop (Ryzen 5 5500U/16GB/AMD Radeon Graphic/500GB SSD/FHD IPS Display),Open Box,$289.99,No best offer,+$85.68 shipping,from United States,35 sold
"ASUS ROG Ally 7"" 120Hz FHD Gaming Handheld Touch AMD Ryzen Z1 16GB RAM 512GB SSD",No subtitle,$399.99,No best offer,+$109.12 shipping,from United States,384 sold
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 8GB 128GB SSD Webcam Win11 Home Red",Certified - Refurbished,$187.06,No best offer,+$82.64 shipping,from United States,56 sold
"14"" HP EliteBook Laptop PC: Intel i5! 8GB RAM! 256GB SSD! Windows 10 Pro!",No subtitle,$164.99,or Best Offer,+$81.99 shipping,from United States,No sold information
Dell Latitude Laptop i3 i5 iCore CPU 8GB RAM 128GB SSD Windows 10 NO WEBCAM,Pre-Owned,$132.13,or Best Offer,+$112.32 shipping,from United Kingdom,143 sold
"Samsung Chromebook 4 11.6"" Celeron 1.1GHz 4GB RAM 32GB SSD XE310XBA",Good - Refurbished,$42.89,No best offer,+$64.91 shipping,from United States,No sold information
"Dell Latitude 3500 15"" Touchscreen Laptop Core i5 16GB RAM 256GB SSD Windows 11",Very Good - Refurbished,$259.99,or Best Offer,+$78.04 shipping,from United States,No sold information
Dell Latitude Laptop: Intel i7 Quad Core! 32GB RAM! 512GB SSD! Windows 11 Pro!,No subtitle,$329.95,or Best Offer,+$80.11 shipping,from United States,No sold information
"HP EliteBook 850 G5 15.6"" 64GB RAM 4TB SSD Intel Quad Core i7 4.20GHz Win11 Pro",No subtitle,$332.00 to $683.00,No best offer,+$93.64 shipping,from United States,No sold information
"HP EliteBook 840 G6 14"" FHD i5-8365U @1.60GHz 8GB/256GB WebCam, Windows 11 Pro",Good - Refurbished,$164.99,No best offer,+$81.99 shipping,from United States,No sold information
"Lenovo ThinkPad T490 14"" i5-8365U @ 1.60GHz 16GB/512GB Win 11 Pro",Very Good - Refurbished,$199.99,No best offer,+$83.02 shipping,from United States,No sold information
DELL LATITUDE 14 RUGGED TOUCH i5-4300U 2.00GHZ 8GB RAM 256GB SSD Win 10 Pro AC,Good - Refurbished,$149.99,No best offer,+$101.75 shipping,from United States,No sold information
"DELL 5410 Latitude Laptop Intel Core i7-10610U 32GB 512GB SSD 14.0"" Win 11 Pro",No subtitle,$369.99,No best offer,+$88.04 shipping,from United States,16 sold
"HP Dragonfly G4 13.5"" Laptop TOUCHSCREEN Intel Core i7-1355U 32GB Ram 1TB SSD",No subtitle,$739.99,No best offer,+$132.52 shipping,from United States,No sold information
"Lenovo ThinkPad P15 15.6"" i7-10850H 32GB 1TB SSD T1000 4GB GPU Gaming Laptop",Certified - Refurbished,$539.99,or Best Offer,+$113.25 shipping,from United States,31 sold
"Lenovo ThinkPad T480s 14"" Laptop i5 8th Gen 500GB NVME 16GB RAM Win 11 Pro FHD",Excellent - Refurbished,$269.99,or Best Offer,+$78.34 shipping,from United States,423 sold
Dell Latitude 5420 Business 14 Laptop Core i5 lap top 8GB RAM 128GB SSD S,Brand New,$245.00,No best offer,+$97.82 shipping,from United States,No sold information
"~OVERSTOCK~ 14"" Dell Latitude Laptop: Intel i7 Quad Core! 32GB RAM! 1TB SSD!",No subtitle,$374.95,or Best Offer,+$88.19 shipping,from United States,No sold information
"Lenovo ThinkPad X1 Carbon Gen 9 14"" WUXGA Touch i5-1145G7 32GB 256GB IR CAM FPR",Certified - Refurbished,$497.26,No best offer,+$91.79 shipping,from United States,56 sold
"Lenovo IdeaPad 3i 15.6"" Laptop (Intel I3, 8GB RAM, 512GB) 82RK00BDUS Refurbished",Good - Refurbished,$199.99,No best offer,+$83.02 shipping,from United States,No sold information
Lenovo Ideapad Flex 5 82xx0036us 2-in-1 Abbys Blue Amd Ryzen  2.0ghz 16GB 512GB,No subtitle,$351.99,No best offer,+$121.07 shipping,from United States,No sold information
HP Victus 15.6 144Hz Gaming Laptop Intel i7-13620H 16GB RAM 512GB SSD RTX 4060,No subtitle,$899.99,No best offer,+$123.87 shipping,from United States,No sold information
17.3 In Touch Display Laptop RAM 16GB SSD512GB DDR5 Intel N5095 Computers Sliver,Brand New,$271.66,or Best Offer,Free International Shipping,from China,No sold information
"~CLEARANCE~ 15.6"" Dell Latitude i7 Laptop: 16GB RAM! 256GB SSD! Windows 10 Pro!",No subtitle,$219.99,or Best Offer,+$83.61 shipping,from United States,No sold information
"15.6"" Dell Latitude Laptop: Intel i5! 16GB RAM! 512 SSD! Webcam! Windows 10 Pro!",No subtitle,$239.95,or Best Offer,+$84.20 shipping,from United States,No sold information
"~CLEARANCE~ 14"" Dell Latitude Laptop PC: 16GB RAM! 1TB HDD! Windows 10! Webcam!",No subtitle,$179.99,or Best Offer,+$82.43 shipping,from United States,No sold information
"Lenovo AMD Ryzen 5 PRO 4.00GHz 14"" Gaming Laptop 32GB RAM 512GB SSD RADEON RX",No subtitle,$549.99,No best offer,+$100.07 shipping,from United States,No sold information
"Dell Latitude 5310 13.3"" 2-in-1 TS FHD Laptop i7-10610U 16GB 512GB W10P",No subtitle,$294.99,No best offer,+$79.07 shipping,from United States,No sold information
"~LIMITED STOCK~ 15.6"" Lenovo ThinkPad Laptop: i5 Quad Core! 16GB Ram! 512GB SSD",No subtitle,$319.99,or Best Offer,+$86.56 shipping,from United States,No sold information
HP Victus 15.6 144Hz Gaming Laptop Intel i7-13620H 16GB RAM 512GB SSD RTX 4060,No subtitle,$899.99,No best offer,+$123.87 shipping,from United States,No sold information
17.3 In Touch Display Laptop RAM 16GB SSD512GB DDR5 Intel N5095 Computers Sliver,Brand New,$271.66,or Best Offer,Free International Shipping,from China,No sold information
Dell Latitude E6410 Laptop Intel Core i5-2.53GHz 4GB 250GB DVD-RW WiFi Win10,Good - Refurbished,$109.99,No best offer,+$100.57 shipping,from United States,341 sold
"Dell 14"" FHD 7490 16gb DDR4 NEW 512gb SSD Core i7 8th gen Win 11 pro Laptop WIFI",Excellent - Refurbished,$279.99,or Best Offer,+$92.11 shipping,from United States,120 sold
Dell Latitude 3470 14” Laptop PC Computer Core i5 8GB RAM 512GB SSD Windows 10,Very Good - Refurbished,$149.99,or Best Offer,+$81.55 shipping,from United States,40 sold
"HP 14-dq0734ds 14"" HD Touch Laptop Pentium Silver N5030 1.1GHz 4GB 128GB SSD W11",Brand New,$185.00,No best offer,+$82.58 shipping,from United States,No sold information
"Lenovo ThinkPad X13 Laptop Intel Core i5-10310U 16GB RAM 512GB SSD 13.3"" W11P",No subtitle,$262.99,No best offer,+$84.88 shipping,from United States,No sold information
"Lenovo 2024 Newest IdeaPad 1 Laptop 14""HD Intel Celeron N4020 4GB RAM,128GB eMMc",Brand New,$187.19,No best offer,+$82.65 shipping,from United States,No sold information
Acer Nitro V 16  Gaming Laptop 165Hz WUXGA R7-8845HS 16GB RAM 1TB SSD RTX 4060,Brand New,$849.99,No best offer,+$157.10 shipping,from United States,"1,066 sold"
"15.6"" Dell Precision Gaming Laptop: Intel i7! 16GB RAM! 512GB SSD! Windows 10!",No subtitle,$229.95,or Best Offer,+$104.11 shipping,from United States,No sold information
"~CLEARANCE SALE~ 15.6"" Dell Latitude Laptop PC: 8GB of RAM! 256GB SSD! Win 10!",No subtitle,$169.95,No best offer,+$102.34 shipping,from United States,No sold information
"15.6"" Lenovo ThinkPad Laptop PC: Intel i5! 16GB RAM! 512 SSD! Windows 10! Webcam",No subtitle,$229.99,or Best Offer,+$83.91 shipping,from United States,No sold information
"2024 HP Pavilion Laptop 15.6"" HD Touch Intel i3-1215U Upto 32GB RAM & 2TB SSD",No subtitle,$399.00 to $639.00,No best offer,+$104.13 shipping,from United States,11+ sold
"Microsoft Surface Laptop Go 12.4"" Touchscreen Intel i5 8GB 128GB SSD W10S",Certified - Refurbished,$259.00,No best offer,+$78.01 shipping,from United States,No sold information
"Lenovo ThinkPad X1 Carbon Gen 9 14"" WUXGA Touch i5-1145G7 32GB 1TB SSD FPR W10P",Certified - Refurbished,$553.66,No best offer,+$93.46 shipping,from United States,83 sold
"Dell 15"" Laptop Computer i5-1135G7, 24GB RAM, 1TB SSD, Windows 11 Pro, WiFi BT",No subtitle,$389.00,No best offer,+$127.72 shipping,from United States,No sold information
"Dell 5500 15.6"" Touch Light Gaming Laptop Intel Core i5 4.10GHz 64GB RAM 4TB SSD",No subtitle,$265.99 to $617.00,No best offer,+$91.69 shipping,from United States,No sold information
"ASUS Vivobook 14 Laptop (Core i3 1215U/16GB/Intel UHD Graphics/512GB/14"" FHD)",Open Box,$279.99,No best offer,+$85.38 shipping,from United States,No sold information
"HP 15-dw0037ca 15.6"" FHD Laptop  Intel i3-8145u 8GB DDR4 RAM 256GB SSD W10H",Certified - Refurbished,$139.99,No best offer,+$94.72 shipping,from United States,No sold information
"ACEMAGIC 16.1"" FHD Laptop AMD Ryzen 7 5700U 16GB DDR4 RAM 512GB SSD 5G/2.4G WIFI",No subtitle,$459.00,or Best Offer,+$123.55 shipping,from United States,No sold information
Lenovo LOQ 15 15.6  LCD FHD 144Hz Gaming Laptop AMD R7 8845HS 16GB DDR5 1TB 4060,Brand New,$949.99,No best offer,+$132.09 shipping,from United States,597 sold
Dell Laptop Latitude 14 5420 Rugged TOUCH i7-8650U 16GB | 1TB SSD | LTE | WEBCAM,Very Good - Refurbished,$694.95,No best offer,+$117.82 shipping,from United States,No sold information
C005280 Getac B300 G7 i5 8350U 1.7 Ghz 8GB 256GB Touchscreen Windows 10 Pro - Ru,Open Box,$499.99,No best offer,+$124.76 shipping,from United States,No sold information
CHUWI CoreBook X 14.1 intel i5-8259U 8GB 512GB SSD Win 11 Laptop NoteBook PC,Brand New,$224.99,No best offer,+$83.76 shipping,from United States,No sold information
"Dell Latitude 15.6"" Touchscreen Laptop Core i5 8GB RAM 256GB SSD Windows 11 HDMI",Very Good - Refurbished,$239.99,or Best Offer,+$77.45 shipping,from United States,306 sold
Lenovo ThinkBook 16  Touchscreen Notebook Intel Core i7-1355U 16GB RAM 512GB,Brand New,$629.99,No best offer,+$115.91 shipping,from United States,104 sold
"15.6"" HP EliteBook Laptop: Intel i5! 16GB RAM! 512GB SSD! Windows 10 Pro! Webcam",No subtitle,$229.99,or Best Offer,+$83.91 shipping,from United States,No sold information
"HP EliteBook 840 G5 14"" Laptop PC Core i5 16GB RAM 240GB SSD Windows 11 WiFi",Very Good - Refurbished,$189.99,No best offer,+$75.98 shipping,from United States,No sold information
"2024 HP Laptop Computer 15.6"" HD Notebook Intel Processor 16GB 628GB Storage",No subtitle,$329.00,No best offer,+$93.55 shipping,from United States,No sold information
"2024 HP Victus 15.6"" IPS Gaming Laptop Nvidia RTX 4050 Ryzen 5 8645HS 8GB 512GB",Brand New,$699.95,No best offer,+$111.24 shipping,from United States,34 sold
"Lenovo ThinkBook 15 Gen 4 Notebook 15.6"" FHD AMD R7 5825U 16GB RAM 512GB SSD",No subtitle,$459.99,No best offer,+$110.89 shipping,from United States,"3,631 sold"
"HP - Envy 2-in-1 14"" XGA Intel Ultra 7 16GB DDR5 1TB SSD Silver Laptop",Open Box,$649.99,No best offer,+$116.50 shipping,from United States,No sold information
DELL LATITUDE 5300 Touch Screen Windows 11 pro i5 16GB 512GB SSD Laptop Computer,Excellent - Refurbished,$229.99,or Best Offer,+$77.16 shipping,from United States,No sold information
Toshiba Satellite Laptop C55 B5300 15.6in (500GB HDD Intel N2840 2.6GHz 4GB RAM),Open Box,$129.99,or Best Offer,+$125.21 shipping,from United States,No sold information
Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 4TB SSD Win 11,No subtitle,$398.00 to $841.00,No best offer,+$91.37 shipping,from United States,No sold information
"Lenovo ThinkPad L560 15.6"" Core i7 6600U 2.6GHz  16GB RAM 512GB SSD Win 10 Pro",Very Good - Refurbished,$249.00,or Best Offer,+$97.94 shipping,from United States,74 sold
"NEW ASUS Vivobook 14"" Laptop FHD Intel Core i3-1215U 12th Gen 8GB Ram 128GB SSD",Brand New,$249.95,No best offer,+$77.75 shipping,from United States,No sold information
HP Elite Dragonfly G3 --- i7-1265U -- 32GB / 512GB -- Touch Screen,Open Box,$649.00,or Best Offer,+$109.74 shipping,from United States,No sold information
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 16GB 128GB SSD Webcam Win 11 Red",Certified - Refurbished,$215.26,No best offer,+$83.48 shipping,from United States,No sold information
"2024 HP Pavilion Laptop 17.3"" FHD Intel i3-1215U Upto 32GB RAM 2TB SSD Win 11Pro",No subtitle,$439.00 to $659.00,No best offer,+$112.34 shipping,from United States,No sold information
"Lenovo ThinkBook 15 Gen 4 Notebook 15.6"" FHD Intel Core i7-1255U 8GB RAM",No subtitle,$499.99,No best offer,+$98.60 shipping,from United States,"3,622 sold"
"2024 ASUS Vivobook 14"" FHD Laptop, 6-Core Intel i3-1215U, Upto 40GB RAM& 2TB SSD",No subtitle,$269.00 to $499.00,No best offer,+$85.06 shipping,from United States,No sold information
"Lenovo ThinkPad X1 Yoga Gen 6 2-in-1 14"" WUXGA Touch i7-1185G7 32GB 512GB SIM 5G",Certified - Refurbished,$629.00,No best offer,+$109.15 shipping,from United States,No sold information
HP 17-cn1003cy 17in Touch Laptop Intel i5-1155G7 12gb 512gb SSD Win11,Open Box,$379.99,No best offer,+$108.53 shipping,from United States,No sold information
"New Listing*NEW* Apple MacBook Air 13"", M3 Chip, 8GB RAM, 256GB SSD, MRXT3LL/A, Starlight",Brand New,$399.00,No best offer,+$108.10 shipping,from United States,No sold information
"NEW HP 15 Laptop. 15.6"" 1080p, i5-1135G7, 8GB RAM, 256GB SSD,Win 11 -15-dy2795wm",No subtitle,$369.95,No best offer,+$101.50 shipping,from United States,303 sold
"Dell Inspiron 15.6"" Touch, 4-Core Intel i5, 16GB RAM+512GB SSD, Win Pro Open Box",Open Box,$299.50,No best offer,+$106.16 shipping,from United States,No sold information
"Toshiba Tecra X40-D i5-7300U 2.8GHz 8GB  256GB SSD 14"" USB-C HDMI",Good - Refurbished,$149.99,or Best Offer,+$74.80 shipping,from United States,No sold information
"HP 14"" Laptop Intel Core i3-305N 8-Cores 8GB RAM 256GB SSD Moonlight Blue - New",Brand New,$289.95,No best offer,+$85.68 shipping,from United States,11 sold
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4070",Brand New,$999.99,No best offer,+$126.82 shipping,from United States,No sold information
"2024 ASUS Vivobook Laptop 15.6 FHD Touch Intel i5-1135G7, Upto 20GB RAM& 1TB SSD",No subtitle,$439.00 to $599.00,No best offer,+$97.98 shipping,from United States,8+ sold
Dell Latitude 5510 156 FHD Intel i5 10310U 32GB RAM 512GB SSD Win 11 Pro Laptop,No subtitle,$319.99,No best offer,+$86.56 shipping,from United States,No sold information
"NEW HP - 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SDD",Brand New,$349.95,No best offer,+$87.45 shipping,from United States,No sold information
"HP 2EE92AV 11.6"" ProBook x360 11 G2 EE w/Celeron 1.6GHz/4GB/128GB SSD - Good",Good - Refurbished,$69.35,or Best Offer,+$72.42 shipping,from United States,No sold information
~CLEARANCE SALE~ 15.6 HP ProBook i5 Laptop: 16GB RAM! 1TB SSD! Windows 10 Pro!,No subtitle,$239.99,or Best Offer,+$104.40 shipping,from United States,No sold information
"15.6"" Dell Precision Gaming Laptop: Intel i5! 16GB RAM! 1TB SSD! NVIDIA M620!",No subtitle,$299.95,or Best Offer,+$106.17 shipping,from United States,No sold information
